EcommerceSite,ReviewId,title_text,Review,Label,reviewCls
Flipkart.com,925076148,Flipkart not provide service,Flipkart not delivered thinks in even smoll town I orders thinks but they not takes my order. But flipkart provided good service in city's they gives good offers on iteam compare other online website. my suggestion if u live city's best buy electronic thinks in flipkart. they will gave service in village thats helps to poor people alsoFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,1,Positive
Flipkart.com,925076148,Account has not working,Dear sirMy account not working please re-active  my account bearing mobile no 9856406258.ThankyouFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,1,Negative
Flipkart.com,925076148,Painted black rice,POISON! When I opened the packet there was a strong paint smell.when I scratched the rice scales of black paint came from the rice.SHOCKING.please dont buy from this brand I brought more than 8 kgs from this brand. I am very much dissatisfied with flipkart on having such brands. When you deliver food product you should check the quality. Giving people poison in the name of food is an immoral and irresponsible act.As you can see in the pictures the paint layer comes off the rice surface when you scratch it. I have purchased many organic products from different sites and different brands and this is the first time I am encountering a fraud company.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,0,Negative
Flipkart.com,925076148,Its a Flopkart,"Mostly you are on luck when you order from Flipkart.If you are ordering small product like pendrive, you may get support if you have received defective product but if it is an appliance washing machine or AC.Your money is gone, the process is super complicated and you will quit half way that's what flipkart wants.order-OD122407090868429000Also their support team disconnects the call or leave the chat half way if they know its a big appliance.Always go for Amazon or any other website, Flipkart is not trustworthy when you need support.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",0,Negative
Flipkart.com,925076148,Flipkart failed to deliver my order,Flipkart failed to deliver my order twice and they cancelled it on their side with an email saying that the courier service was unable to reach me on my phone or address. That is an absolute lie. They never contacted me regarding this order. Why do you wanna hide your failure by sending such emails to customer? Don't you even have the courtesy to reach out to the customer and let them know in case the order could not be delivered and don't you even try investigating with your partners and vendors. This is shame!Order ID: OD122408357663227000Incident: IN21073115473552780369Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,0,Negative
Flipkart.com,925076148,Credit Limit for Verified users,I am using a Flipkart In many years and recently only I know the Flipkart will provide the credit limit for KYC verified users and immediately I will activate the feature it's awesomeFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,1,Neutral
Flipkart.com,925076148,GOOD E-COMMERCE SITE,"Hi friends, I bought three sarees on Flipkart site.i received good quality and beautiful sarees but it's take some time to deliver but its okFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",2,Neutral
Flipkart.com,925076148,Flipkart give me Faulty refurbished Realme C20 ,"Dont Buy any Gadget to get 10% 15% Discount on Flipkart They are selling refurbished products.I purchased Real me C20Order noâOD222398123990002000No one ready to Resolve my problem just Playing on email/SMS/CalssHi All,Befor a week I have ordered Realme C20 phone from Flipkart in exchange offer worth 6999 and I have received on 27july. I opened the box and found the phone is Faulty with multiple problems.Below are mentioned issues:1.Display issue( Small white blinking spot)2.Hanging issue3.Speaker Issue ( Voice break while playing video)4.Restart automaticallyI called helpline explained everything about problem. Further they arranged technician visit which has been completed.Technician visited and PFB statement on above said issue.There is no spot on phone because its small and not visible in day time.The phone will definitely hang due to low quality processor.The Sound quality of speaker is low so that why you are facing sound issue.Phone reset He said phone is not Reset in front of me .He said Device is ok Issue Resolved. What the hell is this? In 5 to 10 minutes How could you say that the is OK? Then I talked to Technician manager and He said SOP is passed it means nothing wrong with the phone. If you still have problem then Talk to Flipkart. Technician went and I received message that Technician visit done and Return Request Has been Canceled.Again. I have submitted Return request and I received 2 calls from customer care. He/She both said once again We have scheduled technician visit for the resolution of this issue? What the hell is this. Do you think I am a fool or you are trying to make me fool.Listen I have paid full amount for new phone not faulty phone. So do the needful and provide me Brand new Handset as soon as possible. I am fed-up from all of you by calling and texting youIf you cannot give me Brand new replacement then GIVE MY HARD EARN MONEY BACK.DONT MAKE FUN OF ME.Today 4-8-2021 Again Technician visit has been done and My problem havenât resolved ââââFlag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",0,Negative
Flipkart.com,925076148,My iphone 11,"Well im very dissapointed with the  flipkarts services the thing is  i just bought the iphone 11 from flipkart which did not switch on at all i tried everything  charged it upto 3 hrs also tried different chargers but nothing so  logically i  requested for the refund but well of course got rejected, so my advice never buy electronics from flipkart .....Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.",0,Negative
Flipkart.com,925076148,Why you provide unseal product,I'm long time flipkart user&buyer but this is my 1st time experience I recive original seal broken and it try to cover loacal tape product box condition also poor. I think any one it purchase already from flipkart and there after product return also same product delivered to me. So it's mean it is 2nd hand product so why you people  are charged like a new products.Flag This ReviewIrrelevantFakeJunk   Thank You! We appreciate your effort.,0,Negative
